Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
RussianDoll,2015,General,Vulnerability (CVE),,CVE-2015-1701,https://www.mandiant.com/resources/blog/probable-apt28-useo
CredoMap,2022,General,Vulnerability (CVE),,CVE-2022-30190,https://cert.gov.ua/article/341128
,2019,Host,File,File hash SHA256,6519c4a26c589ec30d4b9d6212d8a7b9046ab7ec377ff2ed6a1d2a64e139c527,https://analyze.intezer.com/analyses/976a8c29-b999-4e0d-8fd6-4e8b1fe17e35/sub/fb519f4e-72d9-4493-9dd7-362f54276742/genetic-summary
,2021,Host,File,File hash SHA256,"ee7cfc55a49b2e9825a393a94b0baad18ef5bfced67531382e572ef8a9ecda4b
",https://analyze.intezer.com/files/ee7cfc55a49b2e9825a393a94b0baad18ef5bfced67531382e572ef8a9ecda4b
,2023,Host,File,File hash SHA256,c44f24e49697e8e008cdcfc852e483a920825855f8bbb7787517511280406a40,https://analyze.intezer.com/analyses/60f8c9b3-9aae-4ef1-a5c6-f7292ebf0a8b
,2022,Network,URL,,http://kitten-268.frge.io/article.html,https://analyze.intezer.com/families/4b0df7b0-b079-4a21-a72d-a35efabef6d8?tab=detect
,2022,Network,IP address,,"18.133.249.238:80
",https://analyze.intezer.com/families/4b0df7b0-b079-4a21-a72d-a35efabef6d8?tab=detect
,2019,Network,URL,,https://www.google.com/?gws_rd=ssl,https://analyze.intezer.com/families/4b0df7b0-b079-4a21-a72d-a35efabef6d8?tab=detect
,2022,Network,Domain,,microsoftstoreservice.com,https://analyze.intezer.com/families/4b0df7b0-b079-4a21-a72d-a35efabef6d8?tab=detect
,2008,Host,File,File hash SHA256,fa8de430fb491d898ee4e557977f036f2aae5f019c3b0552c9e0223da748fc27,https://analyze.intezer.com/analyses/0d1f2896-3e35-42de-afb5-484540f4797c
