Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,2017,General ,MITRE Technique,,T1087,https://attack.mitre.org/techniques/T1087/
,2017,General ,MITRE Technique,,T1098,https://attack.mitre.org/techniques/T1098/
,2017,General ,MITRE Technique,,T1583,https://attack.mitre.org/techniques/T1583/
,2017,General ,MITRE Technique,,T1595,https://attack.mitre.org/techniques/T1595/
,2017,General ,MITRE Technique,,T1071,https://attack.mitre.org/techniques/T1071/
,2017,General ,MITRE Technique,,T1560,https://attack.mitre.org/techniques/T1560/
,2017,General ,MITRE Technique,,T1547,https://attack.mitre.org/techniques/T1547/
,2017,General ,MITRE Technique,,T1110,https://attack.mitre.org/techniques/T1110/
,2017,General ,MITRE Technique,,T1059,https://attack.mitre.org/techniques/T1059/
,2017,General ,MITRE Technique,,T1584,https://attack.mitre.org/techniques/T1584/
,2017,General ,MITRE Technique,,T1136,https://attack.mitre.org/techniques/T1136/
,2017,General ,MITRE Technique,,T1005,https://attack.mitre.org/techniques/T1005/
,2017,General ,MITRE Technique,,T1074,https://attack.mitre.org/techniques/T1074/
,2017,General ,MITRE Technique,,T1189,https://attack.mitre.org/techniques/T1189/
,2017,General ,MITRE Technique,,T1114,https://attack.mitre.org/techniques/T1114/
,2017,General ,MITRE Technique,,T1190,https://attack.mitre.org/techniques/T1190/
,2017,General ,MITRE Technique,,T1203,https://attack.mitre.org/techniques/T1203/
,2017,General ,MITRE Technique,,T1210,https://attack.mitre.org/techniques/T1210/
,2017,General ,MITRE Technique,,T1133,https://attack.mitre.org/techniques/T1133/
,2017,General ,MITRE Technique,,T1083,https://attack.mitre.org/techniques/T1083/
,2017,General ,MITRE Technique,,T1187,https://attack.mitre.org/techniques/T1187/
,2017,General ,MITRE Technique,,T1591,https://attack.mitre.org/techniques/T1591/
,2017,General ,MITRE Technique,,T1564,https://attack.mitre.org/techniques/T1564/
,2017,General ,MITRE Technique,,T1562,https://attack.mitre.org/techniques/T1562/
,2017,General ,MITRE Technique,,T1070,https://attack.mitre.org/techniques/T1070/
,2017,General ,MITRE Technique,,T1105,https://attack.mitre.org/techniques/T1105/
,2017,General ,MITRE Technique,,T1036,https://attack.mitre.org/techniques/T1036/
,2017,General ,MITRE Technique,,T1112,https://attack.mitre.org/techniques/T1112/
,2017,General ,MITRE Technique,,T1135,https://attack.mitre.org/techniques/T1135/
,2017,General ,MITRE Technique,,T1588,https://attack.mitre.org/techniques/T1588/
,2017,General ,MITRE Technique,,T1003,https://attack.mitre.org/techniques/T1003/
,2017,General ,MITRE Technique,,T1069,https://attack.mitre.org/techniques/T1069/
,2017,General ,MITRE Technique,,T1566,https://attack.mitre.org/techniques/T1566/
,2017,General ,MITRE Technique,,T1598,https://attack.mitre.org/techniques/T1598/
,2017,General ,MITRE Technique,,T1012,https://attack.mitre.org/techniques/T1012/
,2017,General ,MITRE Technique,,T1021,https://attack.mitre.org/techniques/T1021/
,2017,General ,MITRE Technique,,T1018,https://attack.mitre.org/techniques/T1018/
,2017,General ,MITRE Technique,,T1053,https://attack.mitre.org/techniques/T1053/
