Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,,Network,IP address,,5.226.139.66,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,45.141.87.11,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,46.101.242.222,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,62.173.140.223,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,79.124.8.66,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,90.131.156.107,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,112.51.253.153,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,112.132.218.45,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,154.21.20.82,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.133.202,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.142.42,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.162.55,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.175.38,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.175.108,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.176.60,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.187.47,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,179.43.189.218,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,185.245.84.227,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,185.245.85.251,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,194.26.29.84,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,194.26.29.95,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,194.26.29.98,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,194.26.29.251,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,IP address,,185.244.41.109,https://cert.gov.ua/article/18419
,,General,Software,,Acunetix,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Amass,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Droopescan,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,JoomScan,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,MASSCAN,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Netcat,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Nmap,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Shodan,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,VirusTotal,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,WPScan,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,OpenVPN ,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Adminer ,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,Impacket,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,General,Software,,ldapdomaindump ,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Vulnerability (CVE),,,CVE-2021-33044,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Vulnerability (CVE),,,CVE-2021-33045,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Vulnerability (CVE),,,CVE-2022-26134,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Vulnerability (CVE),,,CVE-2022-26138,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Vulnerability (CVE),,,CVE-2022-3236,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,Domain,,interlinks.top,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,Domain,,3proxy.ru,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,Domain,,ngrok.com,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,Domain,,cdn.discordapp.com,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
,,Network,Port,,1080,https://media.defense.gov/2024/Sep/05/2003537870/-1/-1/1/CSA-Russian-Military-Cyber-Target-US-Global-CI.PDF
