Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,2023,Host,File,File hash SHA256,68832887818dfe461ba79477119dfdbd0110a8fc298b6de3366d59e5de2a8b2d,https://analyze.intezer.com/analyses/968f325e-e9ae-40fe-8e06-38fee001d1a6
,2023,Host,File,File hash SHA256,449dea773d5d5c156bc72873616df2443a95cbefb9c4a09f86ddb65357edf09e,https://analyze.intezer.com/analyses/a9d7bdfe-2c0e-4dff-ae5c-68fbd0c87b97
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\VectorFuture.hta\Index,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=samples
,2021,Host,File,File hash SHA256,c9084f9a3aa3d15cad1a9a2c3d0a5d0293841b0826a3c4d22f7034391dfe2087,https://analyze.intezer.com/analyses/3dfebc41-d215-41e4-9e64-4065c5be374d
,2023,Host,File,File hash SHA256,b8e7b7a779660f51bbe9f0f5ee734285e78fb42b8b1396c4fb559c96b2920a68,https://analyze.intezer.com/analyses/a3f865ea-debe-46e1-a2bf-66fa16d4d64c
,2023,Host,File,File hash SHA256,3b658ddc9ef0c40aa4b78315a40b0d50eea1b36e226d0decfd0fa605ad84228d,https://analyze.intezer.com/analyses/0af7d61f-8444-426a-b354-95ebef4a2205
,2020,Host,File,File hash SHA256,aed5d50f7253fe0733211a25d670f0dccbe6d92fb0af2ef29ed180b48cdce761,https://analyze.intezer.com/analyses/fc7498ea-3e56-49b0-8986-2f24bc711ccf
,2020,Host,File,File hash SHA256,29367502e16bf1e2b788705014d0142d8bcb7fcc6a47d56fb82d7e333454e923,https://analyze.intezer.com/analyses/e7a6ff00-3c7a-4eb7-9a23-e9c04a2fed6b
,2022,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\~DFA9E4F96CC6530F6A.TMP,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detect
,2022,Network,Domain,,magnolian.site,https://www.virustotal.com/gui/url/1f7f466e76c18a2c77dbc830ab20bde0681ce8825315f53b2915091702d88313
,2020,Host,File,File hash SHA256,3f40d4a0d0fe1eea58fa1c71308431b5c2ce6e381cacc7291e501f4eed57bfd2,https://analyze.intezer.com/analyses/a07187b8-c365-4680-845c-c0993e685a10
,2022,Network,URL,,http://recdataoneveter.cc/vet7sdfh678sdjjs7er0k,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detect
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tree\lmonitor.exe_first\Index,
,2022,Host,File,File hash SHA256,838ca225321292e745e3f96f0cd19ac05213cd69721e26f6d6c1f66e098a44f9,https://analyze.intezer.com/analyses/b962bab7-42f7-4f4f-be9c-d3ed0b901761
,2020,Host,File,File hash SHA256,d479d947ba9936e6b92a20c9d1fff99738c1a58d490332a39b56bf5b2171a96c,https://analyze.intezer.com/analyses/39ff91f7-ef64-475a-95d0-8bcdd81b6f3c
,2022,Host,File,File hash SHA256,4c2f1450e7dfec25f8197c46b2255926dc3e4409a2e1ede6516ba4d83663e66b,https://analyze.intezer.com/analyses/33b4a230-f9f7-4067-b9f0-19a9821b7472
,2020,Host,File,File hash SHA256,b78a3d21325d3db7470fbf1a6d254e23d349531fca4d7f458b33ca93c91e61cd,https://analyze.intezer.com/analyses/05fe9857-f701-46f8-ab1a-58a4666c4de7
,2022,Host,File,File hash SHA256,3b50342b6cd96f400fbf7f00098a7dfcc9561037e4aa0bad8cfeafbb6f17923b,https://analyze.intezer.com/analyses/53d37dc7-2956-41d0-9b9f-2d4feb66aa2a
,2020,Host,File,File hash SHA256,ee29eb3980dff9034b1c539a799cedc1428224855e6d515d81da226448b81521,https://analyze.intezer.com/analyses/613be8f5-0768-48da-a66e-e9d0495b2f08
,2022,Host,File,File hash SHA256,f9b68f9a3e41bafa612bcadd6e4c5ef75870549164e50f6b7ec55d1edad90674,https://analyze.intezer.com/analyses/b91b56f2-9670-4dd7-9a5e-d0de106d7dbd
,2020,Host,File,File hash SHA256,b7198b8e4a8144156c640f5f2120e645a86e157ee58339414aead7a12e23ddc7,https://analyze.intezer.com/analyses/103064ad-f51d-4a8b-8be5-9fb3ec1007fc
,2022,Host,File,File hash SHA256,3cc5f2a99397178c1cd2fce8f5a7840bdd8a1b67dbb11b87c5bea07dafaca3cc,https://analyze.intezer.com/analyses/d200d228-dae8-4083-a46c-e3fe28cadd08
,2020,Host,File,File hash SHA256,e41808677abc8ceeb3df9f81500fef087c19773917cb24e9d42de03122386c0b,https://analyze.intezer.com/analyses/337ca6b3-61d3-4d10-b629-47e02992147e
,2021,Host,File,File hash SHA256,436d2e6da753648cbf7b6b13f0dc855adf51c014e6a778ce1901f2e69bd16360,https://analyze.intezer.com/analyses/a0732745-e059-4ad9-b5a1-789a06927b4f
,2020,Host,File,File hash SHA256,9f6be22a9ed0929a60d44dd38a68a9b291fadc6da891e5e18672bdc368ab2993,https://analyze.intezer.com/analyses/beecdd9f-d0bc-4b4b-bb23-9efa90f83ae0
,2020,Host,File,File hash SHA256,31afda4abdc26d379b848d214c8cbd0b7dc4d62a062723511a98953bebe8cbfc,https://analyze.intezer.com/analyses/8c341806-f863-437e-98e5-018a8c208347
,2022,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\11916.ico,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detect
,2021,Host,File,File hash SHA256,002e1b63a76a7125772cbf2ffd69e80d4d6491d72376ff04dafeb8c3cdc43831,https://analyze.intezer.com/analyses/5606b1fc-6aa6-4dcb-94c4-f0ab619e6e08
,2022,Host,File,Parent folder,C:\Users\<USER>\Favorites\jam.ics,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detect
,2022,Host,File,Parent folder,C:\Users\<USER>\AppData\Roaming\11916.ico.tmp.vbs,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detectt
,2021,Host,File,File hash SHA256,d2d3a5b67e275e7805f3216cb8d59cb8cfbd39798115ca504c5ad865a4fe52fb,https://analyze.intezer.com/analyses/ca9d9315-00eb-4d7d-863c-53962adee300
,2022,Host,File,Parent folder,C:\Users\<USER>\Favorites\joining.dbk,https://analyze.intezer.com/families/f575e3c3-e7e9-444c-9b25-d9629e59654f?tab=detect
