Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
UNC1151,2022,Host,File,File hash SHA256,f86d674af9284ceb7d7ea6bd536bfd1bc66ea1cc2c0100f478702ddc99f300e9,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,0c15634eb43b0cbc51923a9e7ed68f1dc9639df3c53184a4c73066d0b292a23e,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,b15d67b4a57184e5202df3c25e20dc0b7f853f4d527d148b337138900989824a,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,769416fa7edf38e91a55f4f7163914ee4aad9c8c890ed641c300b73157acac45,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,744ecdf5fcc81797ffce3c85be0ab6f931c58b32ad2adb6377c2ac0b31c80c64,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,36993fc3312ce757c8adeca3e5969e1fcc11d5b51b12c458ba8d54d73b64d4e7,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,303c78aba3b776472c245f17020f9aa5a53f09a6f6c1e4f34b8e18e33906b5ee,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,963d0d5f86bdb7c95d169cadad792963e184d8c0a204a6eecc2f261c2ee408ca,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,ccd5b9e5947f956e880bd2285a6091dc9f1ee9b0eb8df627ec4e72b451a1c745,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,dfc847405be60c29e86e3e3222e7f63c1ff584727d87d3c35c25c4893e19fda0,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,431cd1e4fef4d771a4b59dbf088f7a85b42b92b2dcec20f56715bb457c6e5f49,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,998b2d7d12aafe1aa99c17224cf157704b67853a58a0a6a00de776f2a2907b4a,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,d813704a41efc0593ff96efd845522e362c898b0628138b77377f48fe73b89b1,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,e97f1d6ec1aa3f7c7973d57074d1d623833f0e9b1c1e53f81af92c057a1fdd72,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,File,File hash SHA256,7f0511b09b1ab3a64c8827dd8af017acbf7d2688db31a5d98fea8a5029a89d56,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2021,Host,File,File hash SHA256,9390bae396f6cb8b4be9b695f5dda2f8407c3b8c1b15b73cbc8571b921661a7b,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2021,Host,File,File hash SHA256,30f568a18bb7f3ce2419cb3f7b4b8f7619072b211b24a9c462a6c312707d0a72,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Usoris\Remote Utilities Host\Host\Parameters,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Usoris\Remote Utilities Host\Host\Parameters\General,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\fjeoyqva\fnavfvafg.rkr,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\Recovery\AdminActive\{AF1E2569-D04F-11EC-BF30-AE7CEA8AF18B},https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\{7P5N40RS-N0SO-4OSP-874N-P0S2R0O9SN8R}\Ihkare Pung\IhkarePung.rkr,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\UserData\S-1-5-18\Components\B04AC0DFA70310942A95D53DA01D552C,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Installer\Folders\C:\Program Files (x86)\Remote Utilities - Host\Printer\common\,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SYSTEM\Remote Utilities Host Installer\CallbackSettings,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2019,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\SYSTEM\Remote Utilities Host Installer\notification,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\Windows\system32\cmd.exe /c C:\swrbldin\startclick.bat,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Users\<USER>\AppData\Local\Temp\_ir_sf_temp_0\irsetup.exe"" __IRAOFF:1791234 ""__IRAFN:C:\Users\<USER>\AppData\Local\Temp\<ANALYZED-FILE-NAME>.exe"" ""__IRCT:2"" ""__IRTSS:0"" ""__IRSID:S-1-5-21-3170026379-3177503207-93694414-1001""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\Windows\system32\cmd.exe /c C:\swrbldin\send.bat,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\swrbldin\sanisinst.exe,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\Windows\system32\cmd.exe /c C:\swrbldin\csettings.bat,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Windows\System32\msiexec.exe"" /i ""C:\Users\<USER>\AppData\Local\Temp\RUT_{C9C1EBD8-13B0-44BE-ACCC-F465784F44C1}\host.msi"" /qn",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE"" SCODEF:3052 CREDAT:275457 /prefetch:2",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Program Files (x86)\Vuxner Chat\VuxnerChat.exe""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\Windows\syswow64\MsiExec.exe -Embedding 5ED9C1AD32DB74B22481E91563A78C76 C,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,C:\Windows\syswow64\MsiExec.exe -Embedding C1810FF30E46855E171917A75F2727BA C,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Windows\system32\msiexec.exe"" /i ""C:\Users\<USER>\AppData\Roaming\Vuxner Ltd\Vuxner Trillian 2.0.0.1\install\AEF5672\Vuxner Chat.msi"" AI_SETUPEXEPATH=""C:\Program Files (x86)\Vuxner Chat\VuxnerChat.exe"" SETUPEXEDIR=""C:\Program Files (x86)\Vuxner Chat\"" EXE_CMD_LINE=""/exenoupdates  /forcecleanup  /wintime 1646429854  """,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Windows\System32\WScript.exe"" ""C:\Users\Public\ignit.vbs""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Windows\Microsoft.NET\Framework\v4.0.30319\regasm.exe""  /U C:\Users\Public\Libraries\core.dll",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,Registry,Registry Value,"""C:\Windows\System32\wscript.exe"" //B //E:vbs C:\Users\Public\Favorites\desktop.ini",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"attrib  +s +h ""C:\Program Files (x86)\Remote Utilities - Host\*.*""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"attrib  +s +h ""C:\Program Files (x86)\Remote Utilities - Host""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"attrib  +s +h ""C:\swrbldin""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"attrib  +s +h ""C:\Program Files\Remote Utilities - Host""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"attrib  +s +h ""C:\swrbldin\sanisinst.exe""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"find  ""sanisinst.exe""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,reg  delete HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{9521E224-E4AA-4DA5-92A4-5AA6DFF2CEF1} /f,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,timeout  7,https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
,2022,Host,cmd line,,"regedit  /s ""C:\swrbldin\fix.reg""",https://analyze.intezer.com/families/b43844ba-d646-4c78-bed2-357d7e40be0a
