Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,2022,Host,File,File hash SHA256,4df873ea077bdbfe5389d30b5b0d0ad4a3fa663af4a4109859b61eb7f6099fc8    ,https://cert.gov.ua/article/37829
,2022,Host,File,File hash SHA256,090997b4691f1a155187a181dbf54aec034eafc7b9344016867fe50da15829df    ,https://cert.gov.ua/article/37829
,2022,Host,File,File hash SHA256,6b721ab9f73718c393aca2b9ad06f45b09dbfb23d105ca5872d8df7515ae14c4    ,https://cert.gov.ua/article/37829
,2022,Host,File,File hash SHA256,5e06d688ac955b351c3ced0083dc7e372e447458e6604fd82ac118a6ac8e553c,https://cert.gov.ua/article/37829
,2022,Host,File,File hash SHA256,fd72080eca622fa3d9573b43c86a770f7467f3354225118ab2634383bd7b42eb    ,https://cert.gov.ua/article/37829
,2022,Host,File,File extension,EdgeNotification.dll,https://cert.gov.ua/article/37829
,2022,Network,URL,,hxxp://45.95.11.34:88/get.php?a=We4Qu6,https://cert.gov.ua/article/37829
,2022,Network,URL,,hxxp://45.95.11.34:88/_[A-Z0-9]{12}_AZ,https://cert.gov.ua/article/37829
,2022,Network,URL,,hxxp://45.95.11.34:88/_[A-Z0-9]{12}_BZ,https://cert.gov.ua/article/37829
,2022,Network,URL,,hxxp://45.95.11.34:3000/test,https://cert.gov.ua/article/37829
,2022,Network,IP address,,45.95.11.34,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,%TEMP%\501_25_103.doc.b2,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,%TEMP%\EdgeNotification.dll.b2,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,"%TEMP%\501_25_103.doc
",https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,%TEMP%\EdgeNotification.dll,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\Notification,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,"cmd.exe /c REG ADD HKCU\Software\Microsoft\Windows\CurrentVersion\Run /f /v Notification /t REG_SZ /d ""rundll32.exe ""%TEMP%\EdgeNotification.dll"", GetApplicationNotificationFact""
",https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,C:\1\Release\DLoad.pdb,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,G:\projects\demo_rt\x64\Release\service.pdb,https://cert.gov.ua/article/37829
,2022,Host,File,Parent folder,G:\projects\demo_rt\Win32\Release\service.pdb,https://cert.gov.ua/article/37829
,2022,Host,Console command,,wmic memorychip get /format: list,https://cert.gov.ua/article/37829
,2022,Host,Console command,,wmic baseboard get /format: list,https://cert.gov.ua/article/37829
,2022,Host,Console command,,wmic os get /format:list,https://cert.gov.ua/article/37829
,2022,Host,Console command,,wmic cpu get /format: list,https://cert.gov.ua/article/37829
,2020,Host,File,Parent folder,C:\Windows\system32\WerFault.exe -u -p 1880 -s 288,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Windows\system32\WerFault.exe -u -p 2424 -s 548,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,"""C:\Users\<USER>\AppData\Local\Temp\dc9c61c15434ce75631d33fd.exe""",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Roaming\Realtek\Drivers\Drv7\DP_Sound_Realtek_wnt6\A6305\alcrmv.exe,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\svchost.exe -driver,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,"""C:\Windows\system32\reg.exe""  add ""HKCU\Software\Microsoft\Windows\CurrentVersion\App Paths\fsquirt.exe"" /ve /d C:\Users\<USER>\AppData\Roaming\Realtek\Drivers\Drv7\DP_Sound_Realtek_wnt6\A6305\alcrmv.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,"C:\Windows\system32\cmd.exe /c """"C:\Users\<USER>\AppData\Local\Temp\18100551.bat"" add ""HKCU\Software\Microsoft\Windows\CurrentVersion\App Paths\fsquirt.exe"" /ve /d C:\Users\<USER>\AppData\Roaming\Realtek\Drivers\Drv7\DP_Sound_Realtek_wnt6\A6305\alcrmv.exe""",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Windows\system32\cmd.exe /c C:\Users\<USER>\AppData\Local\Temp\2d0afbf4.bat,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,"""C:\Users\<USER>\AppData\Local\Temp\dc9c61c15434ce75631d33fd.exe""
C:\Windows\system32\WerFault.exe -u -p 1880 -s 288
C:\Windows\system32\WerFault.exe -u -p 2424 -s 548",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Windows\system32\WerFault.exe -u -p 1880 -s 288,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,"C:\Windows\system32\WerFault.exe -u -p 1880 -s 288
C:\Windows\system32\WerFault.exe -u -p 2424 -s 548",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,"""C:\Users\<USER>\AppData\Local\Temp\dc9c61c15434ce75631d33fd.exe""
C:\Windows\system32\WerFault.exe -u -p 1880 -s 288",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Windows\system32\WerFault.exe -u -p 2424 -s 548,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,"""C:\Users\<USER>\AppData\Local\Temp\dc9c61c15434ce75631d33fd.exe""",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,Process,Name,"dc9c61c15434ce75631d33fd.exe
WerFault.exe
WerFault.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,Process,Name,"dc9c61c15434ce75631d33fd.exe
WerFault.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,Process,Name,"<ANALYZED-FILE-NAME>.exe
alcrmv.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,Process,Name,"<ANALYZED-FILE-NAME>.exe
alcrmv.exe
svchost.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,Process,Name,"alcrmv.exe
svchost.exe",https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\dc9c61c15434ce75631d33fd.exe,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Users\<USER>\AppData\Roaming\Microsoft\Internet Explorer\Cache\Y68JG1TH,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2020,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\~log,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Roaming\Realtek\Drivers\Drv7\DP_Sound_Realtek_wnt6\A6305\alcrmv.exe,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\2d0afbf4.bat,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\18100551.bat,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
,2018,Host,File,Parent folder,C:\Users\<USER>\AppData\Local\Temp\2d0afbf4.bat,https://analyze.intezer.com/families/cc4fdc64-4184-4b3b-9b6a-169317bbe380
