Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
Industroyer,2016,Host,File,,104.dll,https://www.dragos.com/wp-content/uploads/CrashOverride-01.pdf
CaddyWiper,2022,Host,File,,NETAPI32.dll,https://www.truesec.com/hub/blog/analysis-of-caddywiper-wiper-targeting-ukraine
CaddyWiper,2022,Host,File,,kernel32.dll,https://www.truesec.com/hub/blog/analysis-of-caddywiper-wiper-targeting-ukraine
CaddyWiper,2022,Host,File,,advapi32.dll,https://www.truesec.com/hub/blog/analysis-of-caddywiper-wiper-targeting-ukraine
CaddyWiper,2022,Host,File,,netapi32.dll,https://www.truesec.com/hub/blog/analysis-of-caddywiper-wiper-targeting-ukraine
CaddyWiper,2022,Host,File,,advapi32.dll,https://www.truesec.com/hub/blog/analysis-of-caddywiper-wiper-targeting-ukraine
,,General,MITRE Technique,ICS,T0895,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0803,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0804,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0805,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0807,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0885,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0884,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0813,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0814,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0816,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0819,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0822,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0823,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0867,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0826,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0827,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0828,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0831,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0849,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0886,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0846,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0853,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0894,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0857,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0855,https://attack.mitre.org/groups/G0034/
,,General,MITRE Technique,ICS,T0859,https://attack.mitre.org/groups/G0034/
Industroyer2 та Caddywiper,2022,Host,File,Parent folder,C:\Windows\Temp\link.ps1,https://cert.gov.ua/article/39518
Industroyer,2016,Host,Registry,Registry Key,HKLM\SYSTEM\CurrentControlSet\Services\\ImagePath,https://www.dragos.com/wp-content/uploads/CrashOverride-01.pdf
BlackEnergy,2022,Host,Parent folder,,C:\Users\<USER>\AppData\Local\Temp\cnwog.exe,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2022,Host,Parent folder,,C:\Windows\system32\cmd.exe /c del C:\Users\<USER>\AppData\Local\Temp\cnwog.exe >> NUL,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2019,Host,Parent folder,,C:\Windows\system32\WerFault.exe -u -p 1888 -s 532,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2019,Host,Parent folder,,C:\Windows\system32\WerFault.exe -u -p 1232 -s 3160,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2019,Host,Parent folder,,C:\Windows\system32\WerFault.exe -u -p 1888 -s 532,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2018,Host,Parent folder,,"C:\Program Files (x86)\Microsoft Office\Office14\WINWORD.EXE"" /n ""C:\Users\<USER>\AppData\Local\Temp\?????? ???????.doc",https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2018,Host,Parent folder,,C:\Users\<USER>\AppData\Local\Temp\qkf.exe,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2018,Host,Parent folder,,C:\Users\<USER>\AppData\Local\Temp\4b2efcda5269f4b80dc417a2.exe,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2018,Host,Parent folder,,C:\Program Files (x86)\Microsoft Office\Office14\WINWORD.EXE,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2017,Host,Parent folder,,C:\Users\<USER>\AppData\Local\Temp\d1d187ef930257ef6f1562d9.exe,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
BlackEnergy,2017,Host,Parent folder,,C:\Program Files (x86)\Internet Explorer\iexplore.exe,https://analyze.intezer.com/families/f5de3677-8d27-4d4a-881f-ce961e1d23e5
