Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
AcidBox,2017,Host,File,File hash SHA256,eb30a1822bd6f503f8151cb04bfd315a62fa67dbfe1f573e6fcfd74636ecedd5,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File extension,msv1_0.dll,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File extension,pku2u.dll,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File extension,wdigest.dll,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File hash SHA256,3ef071e0327e7014dd374d96bed023e6c434df6f98cce88a1e7335a667f6749d,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File hash SHA256,b3166c417d49e94f3d9eab9b1e8ab853b58ba59f734f774b5de75ee631a9b66d,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File hash SHA256,3ad20ca49a979e5ea4a5e154962e7caff17e4ca4f00bec7f3ab89275fcc8f58c,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,File,File hash SHA256,003669761229d3e1db0f5a5b333ef62b3dffcc8e27c821ce9018362e0a2df7e9,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,Registry,Registry Value,C:\WINDOWS\SYSTEM32\lsass.exe,https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Class\{4D36E97D-E325-11CE-BFC1-08002BE10318}\0003\DriverData (REG_BINARY type),https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Class\{4D36E96A-E325-11CE-BFC1-08002BE10318}\0000\DriverData (REG_BINARY type),https://unit42.paloaltonetworks.com/acidbox-rare-malware/
AcidBox,2017,Host,Registry,Registry Key,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Class\{4D36E969-E325-11CE-BFC1-08002BE10318}\0000\DriverData (REG_BINARY type),https://unit42.paloaltonetworks.com/acidbox-rare-malware/
ShellAutorun,2017,Host,Registry,Registry Key,HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
ScreenSaverAutorun,2017,Host,Registry,Registry Key,HKCU\Control Panel\Desktop,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
ScreenSaverAutorun,2017,Host,File,FILE_VERSION_INFO: Original filename,SCRNSAVE.exe,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
TaskSchedulerAutorun,2017,Host,Registry,Registry Value,%APPDATA%\Adobe\adobeup.exe,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
TaskSchedulerAutorun,2017,Host,File,Parent folder,\Adobe\AcrobatReader.Adobe,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
LinkAutorun,2017,Host,Process,Parent process,cmd.exe,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,Registry,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\ScreenSaver,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%TEMP%\KB943729.log,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%TEMP%\CVRG72B5.tmp.cvr,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%TEMP%\CVRG1A6B.tmp.cvr,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%TEMP%\CVRG38D9.tmp.cvr,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%TEMP%\~DF1E06.tmp,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%HOMEPATH%\ntuser.dat.LOG3,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,File,FILE_VERSION_INFO: Original filename,%HOMEPATH%\AppData\Local\Adobe\AdobeUpdater.exe,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,Registry,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\ScreenSaver,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,Registry,Registry Key,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
,2017,Host,Registry,Registry Key,HKCU\Software\Microsoft\Windows\Current Version\Internet Settings\User Agent,https://www.welivesecurity.com/wp-content/uploads/2017/08/eset-gazer.pdf
