Attack / Operation / Campaign,Year of attack,IoC Class,IoC Type,IoC Subtype,Indicator,Source of info
,,General,MITRE Technique,,T1087,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1557,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1071,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1560,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1197,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1547,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1547,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1059,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1059,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1136,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1136,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1543,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1555,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1005,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1074,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1074,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1585,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1048,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1041,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1567,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1210,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1133,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1222,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1562,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1070,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1105,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1490,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1570,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1036,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1112,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1135,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1027,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1588,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1588,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1566,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1566,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1055,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1055,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1021,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1021,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1021,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1021,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1018,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1053,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1489,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1518,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1518,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1558,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1553,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1218,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1082,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1016,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1033,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1569,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1552,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1550,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1204,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1204,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1078,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1078,https://attack.mitre.org/groups/G0102/
,,General,MITRE Technique,,T1047,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1087.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1557.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1071.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1560.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1547.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1547.004,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1059.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1059.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1136.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1136.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1543.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1555.004,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1074.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1585.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1048.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1567.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1222.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1562.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1070.004,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1036.004,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1027.010,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1588.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1588.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1003.003,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1566.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1566.002,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1055.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1021.001,https://attack.mitre.org/groups/G0102/
,,General,MITRE Sub-technique,,T1021.002,https://attack.mitre.org/groups/G0102/
